ABCB9_EIF2B1	EST122234,TAPL,ABCB9	EIF2B,EIF2BA,EIF2Balpha,VWM1,EIF2B1
ABCC10_PPP2R5D	EST182763,MRP7,SIMRP7,ABCC10	B56D,B56delta,HJS1,MRD35,PPP2R5D
ABCC1_MTCH1	ABC29,ABCC,DFNA77,GS-X,MRP,MRP1,ABCC1	CGI-64,PIG60,PSAP,SLC25A49,MTCH1
ABCC1_PRKCB	ABC29,ABCC,DFNA77,GS-X,MRP,MRP1,ABCC1	PKC-beta,PKCB,PKCI(2),PKCbeta,PRKCB1,PRKCB2,PRKCB
ABCC2_CTNNA3	ABC30,CMOAT,DJS,MRP2,cMRP,ABCC2	ARVD13,VR22,CTNNA3
ABCC2_TSPAN14	ABC30,CMOAT,DJS,MRP2,cMRP,ABCC2	DC-TM4F2,TM4SF14,tspan-14,TSPAN14
ABCC3_ACSF2	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	ACSMW,AVYV493,ACSF2
ABCC3_BCAN	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	BEHAB,CSPG7,BCAN
ABCC3_CACNA1G	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	Ca(V)T.1,Cav3.1,NBR13,SCA42,SCA42ND,CACNA1G
ABCC3_CCNI	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	CCNI1,CYC1,CYI,CCNI
ABCC3_DHDH	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	2DD,HUM2DD,DHDH
ABCC3_KAT7	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	HBO1,HBOA,MYST2,ZC2HC7,KAT7
ABCC3_LRRC59	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	PRO1855,p34,LRRC59
ABCC3_TMEM104	ABC31,EST90757,MLP2,MOAT-D,MRP3,cMOAT2,ABCC3	SLC38A12,TMEM104
